GEN,49,18,1
EXO,15,6,1
EXO,15,6,2
EXO,15,11,1
EXO,15,16,1
EXO,15,17,1
NUM,10,35,1
NUM,10,36,1
NUM,14,14,1
NUM,14,14,2
DEU,33,7,1
DEU,33,11,1
JDG,5,4,1
JDG,5,31,1
1SA,23,10,1
1SA,23,11,1
2SA,7,22,1
2SA,7,24,1
2SA,7,25,1
2SA,7,27,1
2SA,15,31,1
2SA,22,29,1
2SA,22,50,1
2SA,23,17,1
1KI,3,7,1
1KI,8,23,1
1KI,8,25,1
1KI,8,28,1
1KI,17,20,2
1KI,17,21,2
1KI,18,36,1
1KI,18,37,1
1KI,18,37,2
1KI,19,4,1
2KI,6,17,1
2KI,6,20,1
2KI,19,15,2
2KI,19,16,1
2KI,19,16,2
2KI,19,17,1
2KI,19,19,1
2KI,19,19,2
2KI,20,3,1
1CH,17,16,2
1CH,17,17,1
1CH,17,19,1
1CH,17,20,1
1CH,17,22,1
1CH,17,23,1
1CH,17,26,1
1CH,17,27,1
1CH,21,17,1
1CH,29,10,2
1CH,29,11,1
1CH,29,11,2
1CH,29,16,1
1CH,29,18,1
2CH,1,9,1
2CH,6,14,1
2CH,6,16,1
2CH,6,17,1
2CH,6,19,1
2CH,6,41,1
2CH,6,41,2
2CH,6,42,1
2CH,14,11,2
2CH,14,11,3
2CH,14,11,4
2CH,20,6,1
EZR,9,15,1
NEH,1,5,1
PSA,3,1,1
PSA,3,3,1
PSA,3,7,1
PSA,4,6,1
PSA,5,1,1
PSA,5,3,1
PSA,5,8,1
PSA,5,12,1
PSA,6,1,1
PSA,6,2,1
PSA,6,2,2
PSA,6,3,1
PSA,6,4,1
PSA,7,1,1
PSA,7,3,1
PSA,7,6,1
PSA,7,8,2
PSA,8,1,1
PSA,8,9,1
PSA,9,10,1
PSA,9,13,1
PSA,9,19,1
PSA,9,20,1
PSA,10,1,1
PSA,10,12,1
PSA,10,17,1
PSA,12,1,1
PSA,12,7,1
PSA,13,1,1
PSA,13,3,1
PSA,15,1,1
PSA,17,1,1
PSA,17,13,1
PSA,17,14,1
PSA,18,1,1
PSA,18,15,1
PSA,18,28,1
PSA,18,49,1
PSA,19,14,1
PSA,20,9,1
PSA,21,1,1
PSA,21,13,1
PSA,22,19,1
PSA,25,1,1
PSA,25,4,1
PSA,25,6,1
PSA,25,7,1
PSA,25,11,1
PSA,26,1,1
PSA,26,1,2
PSA,26,2,1
PSA,26,6,1
PSA,26,8,1
PSA,27,7,1
PSA,27,8,1
PSA,27,11,1
PSA,28,1,1
PSA,30,1,1
PSA,30,2,1
PSA,30,3,1
PSA,30,7,1
PSA,30,8,1
PSA,30,10,1
PSA,30,10,2
PSA,30,12,1
PSA,31,1,1
PSA,31,5,1
PSA,31,9,1
PSA,31,14,1
PSA,31,17,1
PSA,33,22,1
