s4	"21,22,23,60"	"div[@type=""subSection""]/div[@type=""subSection""]/div[@type=""subSection""]/title"
r	"50,60"	title[@type='parallel']/reference
sp	"30,50"	speech/speaker
d	50	"title[@type=""psalm""]"
tr	"50,60"	table/row
th1	"60,70"	"row[@role=""label""]/cell"
th2	"60,70"	"row[@role=""label""]/cell"
th3	"60,70"	"row[@role=""label""]/cell"
th4	"60,70"	"row[@role=""label""]/cell"
tc1	"60,70"	row/cell
tc2	"60,70"	row/cell
tc3	"60,70"	row/cell
tc4	"60,70"	row/cell
thr1	"60,70"	"row[@role=""label""]/cell[@align='right']"
thr2	"60,70"	"row[@role=""label""]/cell[@align='right']"
thr3	"60,70"	"row[@role=""label""]/cell[@align='right']"
thr4	"60,70"	"row[@role=""label""]/cell[@align='right']"
tcr1	"60,70"	row/cell[@align='right']
tcr2	"60,70"	row/cell[@align='right']
tcr3	"60,70"	row/cell[@align='right']
tcr4	"60,70"	row/cell[@align='right']
li	"50,65"	list/item
li1	"50,65"	list/item
li2	"50,65,66,67"	list/item/list/item
li3	"50,65,66,67, 68,69"	list/item/list/item/list/item
li4	"50,65,66,67, 68,69,70,71"	list/item/list/item/list/item/list/item
f	80	note
fe	80	"note[@placement=""end""]"
fr	90	"reference[@type=""source""]"
fk	90	catchWord
ft***		"text within the <note> element, may serve to indicate the end of text of another format marker"
fq	90	q
fqa	90	rdg
fv	90	"seg[@type=""verseNumber""]"
fdc	90	"seg[@editions=""dc""]"
rq	90	"note[@type=""x-quoteSource""]"
x	80	"note[@type=""crossReference""]"
xo	80,90	"note[@type=""crossReference""]/reference[@type=""source""]"
xt***		"text within the <note> element, may serve to indicate the end of text of another format marker"
xk	80,90	"note[@type=""crossReference""]/catchWord"
xq	80,90	"note[@type=""crossReference""]/q"
xdc	80,90	"note[@type=""crossReference""]/seg[@editions=""dc""]"
w	90	"index[@index=""word"" and @level1=""---""]"
wh	90	"index[@index=""hebrew"",@level1=""---""]"
wg	90	"index[@index=""greek"",@level1=""---""]"
ndx	90	"index[@index=""subject"",@level1=""---""]"
fig***		"figure (map attributes to the ""|"" separated values)"
sls	90	"foreign[@type=""x-secondaryLanguage""]"
add	90	"transChange[@type=""added""]"
dc	90	"transChange[@type=""added"" and @editions=""dc""]"
lit	"50,61"	lg[@type='doxology']/l[@type='refrain']
nd	90	divineName
qt	90	"seg[@type=""otPassage""]"
bk	90	"reference[@type=""x-bookName""]"
sig	90	signed
tl	90	foreign
ord	90	"hi[@type=""super""]"
pn	90	name
k	90	"seg[@type=""keyword""]"
no	90	"hi[@type=""normal""]"
it	90	"hi[@type=""italic""]"
bd	90	"hi[@type=""bold""]"
bdit	"90,91"	"hi[@type=""bold""]/hi[@type=""italic""]"
em	90	"hi[@type=""emphasis""]"
sc	90	"hi[@type=""small-caps""]"
pb	90	"milestone[@type=""pb""]"
pub	20	"div[@type=""publicationData""]"
toc	20	"div[@type=""tableOfContents""]"
pref	20	"div[@type=""preface""]"
intro***	20	"div[@type=""introduction""]"
conc	20	"div[@type=""concordance""]"
glo	20	"div[@type=""glossary""]"
idx	20	"div[@type=""index""]"
maps	20	"div[@type=""map""]"
cov	20	"div[@type=""coverPage""]"
spine	20	"div[@subtype=""x-spine""]"
pubinfo***	20	"Encode in using the Doublin Core elements in <work> in the header.  If for presentation purposes this may be encoded within div[@type=""publicationData""]"
phi	"50,65"	list/item
tr1***		treat same as tr
tr2***		treat same as tr
ps	50	p
psi	"50,65,66"	list/item/p
